"","Cities/Areas","2010","2011","2012","2013","2014","2015","2015 Rank","state"
"1","Abilene",5513,5781,6289,6588,6875,6499,254," TX"
"2","Akron",28628,29563,30679,31266,32810,34419,77," OH"
"3","Albany",4903,4915,5018,5108,5101,5152,301," GA"
"4","Albany",3058,3130,3263,3336,3440,3570,362," OR"
"5","Albany-Schenectady-Troy",43305,43898,45651,47429,48922,51120,58," NY"
"6","Albuquerque",39043,39634,40293,40249,41684,42673,64," NM"
"7","Alexandria",5529,5184,5264,5215,5322,5345,296," LA"
"8","Allentown-Bethlehem-Easton",31337,32089,33022,33834,35335,36968,73," PA-NJ"
"9","Altoona",4480,4544,4618,4739,4922,5067,305," PA"
"10","Amarillo",10335,10554,11054,11476,12030,12031,177," TX"
"11","Ames",4536,4445,4327,4474,4761,4962,311," IA"
"12","Anchorage",29028,30940,32263,31837,30972,28876,87," AK"
"13","Ann Arbor",19145,19168,19247,19784,20347,21212,115," MI"
"14","Anniston-Oxford-Jacksonville",3891,3869,3809,3710,3753,3819,353," AL"
"15","Appleton",10099,10477,10926,11141,11803,12318,174," WI"
"16","Asheville",14291,14382,14932,15108,15792,16888,139," NC"
"17","Athens-Clarke County",6769,6875,7181,7379,7650,8142,221," GA"
"18","Atlanta-Sandy Springs-Roswell",274874,282682,294083,305311,322054,339203,10," GA"
"19","Atlantic City-Hammonton",13098,13032,13294,13198,13274,13261,167," NJ"
"20","Auburn-Opelika",3901,4150,4291,4415,4721,4983,308," AL"
"21","Augusta-Richmond County",19550,20026,20487,20856,21458,22313,109," GA-SC"
"22","Austin-Round Rock",87473,92918,100165,106075,113881,119949,32," TX"
"23","Bakersfield",32617,34016,36210,37089,38347,35829,76," CA"
"24","Baltimore-Columbia-Towson",152820,157619,163034,167457,174437,181419,19," MD"
"25","Bangor",5371,5399,5547,5613,5688,5884,275," ME"
"26","Barnstable Town",9079,9450,9989,10194,10468,10898,188," MA"
"27","Baton Rouge",44909,46816,49675,48639,51038,53689,57," LA"
"28","Battle Creek",5227,5097,5213,5430,5480,5685,285," MI"
"29","Bay City",2977,2981,3038,3091,3100,3148,368," MI"
"30","Beaumont-Port Arthur",20631,21825,21871,23974,23904,24647,101," TX"
"31","Beckley",4381,4772,4733,4665,4654,4529,330," WV"
"32","Bellingham",9373,9226,9478,9816,9626,9917,199," WA"
"33","Bend-Redmond",5865,5732,5991,6323,6718,7341,238," OR"
"34","Billings",7422,8605,8889,8970,9480,9764,201," MT"
"35","Binghamton",8797,8891,8964,9135,9159,9283,210," NY"
"36","Birmingham-Hoover",52834,55892,59116,59447,61864,64083,50," AL"
"37","Bismarck",5243,5693,6635,7077,7525,7851,228," ND"
"38","Blacksburg-Christiansburg-Radford",5516,5752,6367,6256,6520,6683,249," VA"
"39","Bloomington",9816,10121,10673,11077,11129,10414,195," IL"
"40","Bloomington",6217,6217,6158,6100,6407,6636,250," IN"
"41","Bloomsburg-Berwick",3379,3505,3588,3730,3630,3861,349," PA"
"42","Boise City",24942,25248,26436,27739,28921,30297,83," ID"
"43","Boston-Cambridge-Newton",330024,341980,358303,363001,378983,396549,9," MA-NH"
"44","Boulder",18722,19338,20348,21310,22243,23414,105," CO"
"45","Bowling Green",5310,5436,5761,6043,6278,6569,252," KY"
"46","Bremerton-Silverdale",9124,9189,9302,9325,9806,10201,196," WA"
"47","Bridgeport-Stamford-Norwalk",82351,85499,90844,94043,97863,101385,38," CT"
"48","Brownsville-Harlingen",8077,8215,8626,8827,9211,9574,203," TX"
"49","Brunswick",3287,3295,3372,3453,3508,3616,361," GA"
"50","Buffalo-Cheektowaga-Niagara Falls",48644,49681,51633,53134,54535,56456,53," NY"
"51","Burlington",4418,4572,4914,4871,4849,5075,304," NC"
"52","Burlington-South Burlington",11160,11786,12190,12250,12614,12891,169," VT"
"53","California-Lexington Park",5430,5723,5740,5757,5871,6069,266," MD"
"54","Canton-Massillon",13387,14319,15106,16475,17451,17420,133," OH"
"55","Cape Coral-Fort Myers",19705,19571,20769,22128,23498,25350,96," FL"
"56","Cape Girardeau",3537,3513,3546,3690,3765,3788,356," MO-IL"
"57","Carbondale-Marion",4318,4447,4600,4742,4769,4933,316," IL"
"58","Carson City",2834,2819,2815,2860,2966,3074,369," NV"
"59","Casper",5958,6545,6344,6270,6561,6069,265," WY"
"60","Cedar Rapids",15568,16199,16391,16780,17629,18170,131," IA"
"61","Chambersburg-Waynesboro",4269,4377,4447,4659,4855,5001,307," PA"
"62","Champaign-Urbana",9598,9691,10063,10491,10698,10935,187," IL"
"63","Charleston",13553,14455,13973,13874,14200,13700,165," WV"
"64","Charleston-North Charleston",28690,30306,31643,32462,34164,36424,74," SC"
"65","Charlotte-Concord-Gastonia",114500,123701,127251,134216,142243,152447,22," NC-SC"
"66","Charlottesville",10067,10538,11049,11341,11937,12197,175," VA"
"67","Chattanooga",20791,21224,22043,22532,23083,24274,103," TN-GA"
"68","Cheyenne",4835,5225,5424,5414,5529,5584,288," WY"
"69","Chicago-Naperville-Elgin",533825,551739,581924,587130,608710,640656,3," IL-IN-WI"
"70","Chico",6338,6393,6414,6951,7125,7559,233," CA"
"71","Cincinnati",104314,108575,113499,115863,122336,127057,28," OH-KY-IN"
"72","Clarksville",9532,10273,10504,10535,10565,10973,186," TN-KY"
"73","Cleveland",3379,3515,4012,4166,4402,4511,332," TN"
"74","Cleveland-Elyria",109365,114844,118347,119959,125602,128448,27," OH"
"75","Coeur d'Alene",4354,4445,4481,4797,5020,5186,298," ID"
"76","College Station-Bryan",7341,7476,7971,8387,8952,9122,213," TX"
"77","Colorado Springs",26298,27008,27776,27811,28559,29850,84," CO"
"78","Columbia",6796,6978,7241,7790,8016,8303,218," MO"
"79","Columbia",31943,32706,33646,34743,36611,38370,71," SC"
"80","Columbus",11935,12396,12912,13271,13377,13730,163," GA-AL"
"81","Columbus",4448,4686,5106,5290,5545,5890,274," IN"
"82","Columbus",96475,101776,108766,112543,117645,124381,30," OH"
"83","Corpus Christi",19285,20689,21716,23912,24381,22907,108," TX"
"84","Corvallis",5436,5305,4773,4458,4376,4409,335," OR"
"85","Crestview-Fort Walton Beach-Destin",10915,11357,11406,11610,11940,12580,171," FL"
"86","Cumberland",2818,2865,2895,2906,2963,3068,370," MD-WV"
"87","Dallas-Fort Worth-Arlington",377500,403367,430194,452668,478572,485683,6," TX"
"88","Dalton",4918,5219,5325,5607,5842,5983,270," GA"
"89","Danville",2564,2665,2756,2825,2801,2750,376," IL"
"90","Daphne-Fairhope-Foley",5611,5723,5877,6190,6443,6824,245," AL"
"91","Davenport-Moline-Rock Island",17632,18479,19383,19291,19383,19541,122," IA-IL"
"92","Dayton",34226,35891,36639,36861,38357,39206,68," OH"
"93","Decatur",5036,4997,5212,5333,5510,5418,293," AL"
"94","Decatur",5574,5763,5805,5838,6161,6186,263," IL"
"95","Deltona-Daytona Beach-Ormond Beach",13450,13112,13435,13718,14340,15124,151," FL"
"96","Denver-Aurora-Lakewood",155598,160968,169201,177134,188174,193172,18," CO"
"97","Des Moines-West Des Moines",36364,38295,41870,41919,44686,46557,61," IA"
"98","Detroit-Warren-Dearborn",197973,207286,218538,224786,233201,245607,14," MI"
"99","Dothan",4554,4556,4624,4778,4912,5113,303," AL"
"100","Dover",6121,6208,6344,6460,6900,7104,242," DE"
"101","Dubuque",4460,4566,5292,5106,5378,5559,289," IA"
"102","Duluth",10932,11847,11580,12223,12677,12432,173," MN-WI"
"103","Durham-Chapel Hill",40122,37791,38596,41523,43242,44459,63," NC"
"104","East Stroudsburg",5623,5420,5398,5406,5427,5769,279," PA"
"105","Eau Claire",6512,6682,7152,7239,7680,8067,222," WI"
"106","El Centro",4995,5588,5383,5622,5933,5947,271," CA"
"107","Elizabethtown-Fort Knox",5408,5723,5852,6132,5969,6281,262," KY"
"108","Elkhart-Goshen",10145,10248,11275,12192,13169,14278,158," IN"
"109","Elmira",3158,3250,3335,3355,3381,3399,365," NY"
"110","El Paso",25140,25852,26808,26868,27567,28912,86," TX"
"111","Enid",2379,2551,2839,3050,3213,3010,373," OK"
"112","Erie",9694,10248,10190,10540,10598,10862,189," PA"
"113","Eugene",11748,12153,12562,13175,13588,14322,157," OR"
"114","Evansville",15929,16802,16587,16500,16987,17376,134," IN-KY"
"115","Fairbanks",5193,5424,5485,5377,5466,5441,291," AK"
"116","Fargo",11229,12472,13742,14108,14842,15351,150," ND-MN"
"117","Farmington",6337,7245,7087,7079,7306,6033,268," NM"
"118","Fayetteville",16621,16960,17147,16994,16745,16989,138," NC"
"119","Fayetteville-Springdale-Rogers",20088,21590,22201,22959,24499,26034,93," AR-MO"
"120","Flagstaff",4842,4790,4850,5130,5274,5488,290," AZ"
"121","Flint",11939,12111,12523,12771,13133,13876,162," MI"
"122","Florence",6997,6995,7225,7681,7912,8176,219," SC"
"123","Florence-Muscle Shoals",4040,4119,4244,4429,4652,4837,322," AL"
"124","Fond du Lac",3750,3958,4119,4237,4507,4660,326," WI"
"125","Fort Collins",11703,12048,12680,13486,14371,15482,148," CO"
"126","Fort Smith",9583,9792,9932,10421,10771,10633,192," AR-OK"
"127","Fort Wayne",17875,18352,19220,19588,20423,21280,114," IN"
"128","Fresno",32389,34479,34774,35787,37075,38830,70," CA"
"129","Gadsden",2617,2717,2734,2717,2813,2887,375," AL"
"130","Gainesville",10653,10647,10858,11122,11585,12049,176," FL"
"131","Gainesville",6470,6924,7192,7508,7891,8569,216," GA"
"132","Gettysburg",2691,2663,2785,2920,3057,3058,371," PA"
"133","Glens Falls",4257,4322,4484,4508,4629,4741,324," NY"
"134","Goldsboro",4011,4044,4209,4265,4317,4446,334," NC"
"135","Grand Forks",4023,4128,4555,4732,4779,4977,309," ND-MN"
"136","Grand Island",3431,3724,3887,4061,3999,4053,343," NE"
"137","Grand Junction",4853,5004,5166,5198,5447,5429,292," CO"
"138","Grand Rapids-Wyoming",41221,43085,46094,48286,51346,53949,56," MI"
"139","Grants Pass",1781,1793,1816,1795,1887,2019,381," OR"
"140","Great Falls",3032,3130,3176,3151,3299,3455,363," MT"
"141","Greeley",7550,7930,8414,9119,10172,10472,194," CO"
"142","Green Bay",15326,15901,16681,17203,17917,18650,128," WI"
"143","Greensboro-High Point",33894,34852,35264,36758,38402,39316,65," NC"
"144","Greenville",6247,6581,6880,7031,7304,7471,235," NC"
"145","Greenville-Anderson-Mauldin",31234,32718,33294,34459,36251,38306,72," SC"
"146","Gulfport-Biloxi-Pascagoula",15444,15714,17166,16069,16232,16670,141," MS"
"147","Hagerstown-Martinsburg",7683,8029,8320,8430,8653,8936,215," MD-WV"
"148","Hammond",3678,3787,3636,3589,3767,3668,357," LA"
"149","Hanford-Corcoran",4304,5043,5048,5223,5264,5407,295," CA"
"150","Harrisburg-Carlisle",29162,29912,30875,31587,32544,33730,79," PA"
"151","Harrisonburg",6872,6932,7183,7243,7440,7398,237," VA"
"152","Hartford-West Hartford-East Hartford",81935,81231,80791,80766,83544,86113,40," CT"
"153","Hattiesburg",4934,5031,5271,5332,5468,5658,287," MS"
"154","Hickory-Lenoir-Morganton",11539,11681,11985,11926,12247,13062,168," NC"
"155","Hilton Head Island-Bluffton-Beaufort",7345,7214,7228,7371,7722,7927,224," SC"
"156","Hinesville",3351,3562,3478,3498,3419,3436,364," GA"
"157","Homosassa Springs",3257,3164,3080,3077,2938,2984,374," FL"
"158","Hot Springs",2732,2952,3143,3305,3391,3368,366," AR"
"159","Houma-Thibodaux",11097,10962,11738,12394,12846,11744,181," LA"
"160","Houston-The Woodlands-Sugar Land",401087,441158,469925,504708,522028,503311,4," TX"
"161","Huntington-Ashland",12584,12970,13644,14801,14897,14499,155," WV-KY-OH"
"162","Huntsville",21263,21784,22141,22552,23274,24248,104," AL"
"163","Idaho Falls",5075,5207,5297,5365,5418,5769,278," ID"
"164","Indianapolis-Carmel-Anderson",111084,113776,117104,123106,129001,134081,25," IN"
"165","Iowa City",7458,7869,8281,8780,9207,9419,204," IA"
"166","Ithaca",4292,4331,4515,4618,4683,4889,317," NY"
"167","Jackson",4990,5163,5174,5648,5696,5871,277," MI"
"168","Jackson",25283,26301,27409,27958,28662,28996,85," MS"
"169","Jackson",5055,5316,5665,5858,5972,6078,264," TN"
"170","Jacksonville",57277,57391,59779,61398,64232,67557,49," FL"
"171","Jacksonville",7765,7819,7821,7734,7772,7876,227," NC"
"172","Janesville-Beloit",4927,5187,5416,5815,5840,6029,269," WI"
"173","Jefferson City",6194,6102,6136,6534,6650,6750,246," MO"
"174","Johnson City",5711,5905,6168,6209,6344,6557,253," TN"
"175","Johnstown",4171,4264,4217,4187,4211,4149,339," PA"
"176","Jonesboro",4241,4283,4339,4616,4651,4843,321," AR"
"177","Joplin",6065,6175,6328,6487,6555,6710,247," MO"
"178","Kahului-Wailuku-Lahaina",6735,7028,7296,7540,7944,7962,223," HI"
"179","Kalamazoo-Portage",12784,13135,13345,13903,14307,14907,153," MI"
"180","Kankakee",3302,3390,3763,3773,3812,3905,347," IL"
"181","Kansas City",107265,109235,114154,116686,121105,125618,29," MO-KS"
"182","Kennewick-Richland",11200,11380,11019,11157,11377,11966,178," WA"
"183","Killeen-Temple",15097,15449,15655,15447,15663,16564,142," TX"
"184","Kingsport-Bristol-Bristol",10194,11032,11580,11686,11695,11784,180," TN-VA"
"185","Kingston",5179,5088,5232,5402,5466,5701,284," NY"
"186","Knoxville",32832,34288,35483,36106,37422,39155,69," TN"
"187","Kokomo",3625,3730,3835,4032,4109,4452,333," IN"
"188","La Crosse-Onalaska",5901,6079,6329,6485,6767,7005,243," WI-MN"
"189","Lafayette",25125,26782,27346,27139,27147,24696,100," LA"
"190","Lafayette-West Lafayette",8375,8751,8947,9222,9613,9959,197," IN"
"191","Lake Charles",13677,13920,14822,13466,14856,15353,149," LA"
"192","Lake Havasu City-Kingman",3633,3650,3645,3733,3854,3846,351," AZ"
"193","Lakeland-Winter Haven",17368,17390,17263,18189,18387,19077,124," FL"
"194","Lancaster",20835,21800,22629,23627,24769,25917,94," PA"
"195","Lansing-East Lansing",19311,19310,19397,20102,20753,20886,117," MI"
"196","Laredo",6214,6661,7082,7255,7573,7564,232," TX"
"197","Las Cruces",6216,6240,6150,6069,6266,6369,258," NM"
"198","Las Vegas-Henderson-Paradise",85020,86028,88168,90467,96750,103343,36," NV"
"199","Lawrence",3613,3720,3825,3901,3985,4067,342," KS"
"200","Lawton",4640,4686,4642,4772,4818,4957,313," OK"
"201","Lebanon",4142,4268,4402,4520,4562,4609,329," PA"
"202","Lewiston",1969,1961,2002,2067,2134,2197,380," ID-WA"
"203","Lewiston-Auburn",3803,3840,3982,3985,4159,4143,340," ME"
"204","Lexington-Fayette",23538,24296,25354,26081,27197,28589,90," KY"
"205","Lima",5019,5472,5317,5552,6133,6057,267," OH"
"206","Lincoln",14526,15052,16314,17355,18025,18773,126," NE"
"207","Little Rock-North Little Rock-Conway",33325,34603,35720,37371,38330,39270,66," AR"
"208","Logan",3701,3991,3991,4093,4326,4528,331," UT-ID"
"209","Longview",10472,10530,11138,11570,12067,11070,183," TX"
"210","Longview",3220,3205,3339,3543,3757,3809,354," WA"
"211","Los Angeles-Long Beach-Anaheim",762565,779241,805023,843758,879960,930817,2," CA"
"212","Louisville/Jefferson County",58012,59987,63061,64006,67434,70782,48," KY-IN"
"213","Lubbock",10542,10456,11192,12000,12325,12830,170," TX"
"214","Lynchburg",8626,8570,8693,8817,9086,9300,207," VA"
"215","Macon",7888,8064,8230,8566,8931,9293,208," GA"
"216","Madera",3791,4123,4434,4890,5071,4962,312," CA"
"217","Madison",37283,39110,40664,42532,44112,46574,60," WI"
"218","Manchester-Nashua",21483,22662,22948,23516,24690,25442,95," NH"
"219","Manhattan",2881,3006,3053,3104,3168,3318,367," KS"
"220","Mankato-North Mankato",3953,4209,4401,4597,4757,4967,310," MN"
"221","Mansfield",3700,3850,3941,4043,4223,4199,338," OH"
"222","McAllen-Edinburg-Mission",14929,15604,16449,17385,18333,18805,125," TX"
"223","Medford",6071,6026,6276,6514,6797,7176,241," OR"
"224","Memphis",62142,63469,66761,67774,69175,71278,47," TN-MS-AR"
"225","Merced",6271,7139,6987,7673,8138,8348,217," CA"
"226","Miami-Fort Lauderdale-West Palm Beach",250639,255010,269820,285149,300027,317986,11," FL"
"227","Michigan City-La Porte",3581,3706,3767,3818,3926,3874,348," IN"
"228","Midland",3710,3916,3838,3867,4077,4134,341," MI"
"229","Midland",15395,19476,22939,25377,28688,21472,112," TX"
"230","Milwaukee-Waukesha-West Allis",86569,89537,92320,94380,97822,102209,37," WI"
"231","Minneapolis-St. Paul-Bloomington",199606,209358,217269,225837,237643,248779,13," MN-WI"
"232","Missoula",4415,4503,4661,4694,4867,5170,300," MT"
"233","Mobile",16713,17144,17174,17472,17979,18478,129," AL"
"234","Modesto",15681,16281,16690,17268,18294,19110,123," CA"
"235","Monroe",6551,6400,6594,6802,6899,7198,240," LA"
"236","Monroe",3935,4030,4173,4390,4540,4613,328," MI"
"237","Montgomery",15492,15798,16032,16342,16560,17041,136," AL"
"238","Morgantown",6477,6502,6570,6814,7141,7472,234," WV"
"239","Morristown",3294,3328,3544,3618,3764,3830,352," TN"
"240","Mount Vernon-Anacortes",5397,5094,5092,5227,5245,5413,294," WA"
"241","Muncie",3361,3438,3612,3642,3724,3915,346," IN"
"242","Muskegon",4851,5092,5255,5387,5613,5731,282," MI"
"243","Myrtle Beach-Conway-North Myrtle Beach",13620,14094,14423,14857,15455,15984,145," SC-NC"
"244","Napa",7038,7171,7953,8547,8884,9363,206," CA"
"245","Naples-Immokalee-Marco Island",12363,12552,13544,14625,15557,16743,140," FL"
"246","Nashville-Davidson--Murfreesboro--Franklin",84804,89432,96383,100717,106455,113680,34," TN"
"247","New Bern",4627,4596,4750,4691,4831,5003,306," NC"
"248","New Haven-Milford",41021,41208,42220,42986,44123,45091,62," CT"
"249","New Orleans-Metairie",77804,78020,79133,76979,79524,78478,43," LA"
"250","New York-Newark-Jersey City",1340859,1365795,1440989,1478671,1537140,1602705,1," NY-NJ-PA"
"251","Niles-Benton Harbor",5956,5781,5696,5998,6272,6328,260," MI"
"252","North Port-Sarasota-Bradenton",23351,23625,24094,25301,26656,28408,91," FL"
"253","Norwich-New London",15975,15225,15124,15042,15380,15710,147," CT"
"254","Ocala",7001,6978,7049,7317,7505,7889,226," FL"
"255","Ocean City",4298,4382,4499,4532,4657,4732,325," NJ"
"256","Odessa",6084,7458,8812,9547,10468,9254,211," TX"
"257","Ogden-Clearfield",20722,21629,21473,22799,23514,25014,99," UT"
"258","Oklahoma City",59021,64871,68404,72811,76050,72019,46," OK"
"259","Olympia-Tumwater",9270,9228,9501,9837,10188,10796,190," WA"
"260","Omaha-Council Bluffs",47711,49599,52338,54118,56438,59090,52," NE-IA"
"261","Orlando-Kissimmee-Sanford",101307,101582,104970,108301,114452,121329,31," FL"
"262","Oshkosh-Neenah",8263,8590,8941,9056,9279,9695,202," WI"
"263","Owensboro",4639,4836,5096,5429,5631,5878,276," KY"
"264","Oxnard-Thousand Oaks-Ventura",40141,42438,44014,45414,47185,48220,59," CA"
"265","Palm Bay-Melbourne-Titusville",18488,17719,17609,17974,18579,19772,120," FL"
"266","Panama City",7196,7043,6854,7111,7645,7909,225," FL"
"267","Parkersburg-Vienna",3289,3352,3455,3539,3676,3642,359," WV"
"268","Pensacola-Ferry Pass-Brent",14230,14516,14576,15021,15492,16196,143," FL"
"269","Peoria",17984,20020,22178,19739,19856,20336,119," IL"
"270","Philadelphia-Camden-Wilmington",348749,357654,371295,381662,397137,411161,8," PA-NJ-DE-MD"
"271","Phoenix-Mesa-Scottsdale",182494,189685,199609,202642,211137,219968,17," AZ"
"272","Pine Bluff",3107,3106,3154,3144,3104,3055,372," AR"
"273","Pittsburgh",117895,123811,127974,130756,137576,138873,24," PA"
"274","Pittsfield",5284,5553,5953,5988,6101,6334,259," MA"
"275","Pocatello",2391,2456,2465,2402,2449,2541,378," ID"
"276","Portland-South Portland",25711,25959,26493,26843,27769,28876,88," ME"
"277","Portland-Vancouver-Hillsboro",141233,149515,145415,145128,149095,158770,20," OR-WA"
"278","Port St. Lucie",11153,11140,11178,11346,11727,12446,172," FL"
"279","Prescott",4512,4439,4492,4688,4977,5127,302," AZ"
"280","Providence-Warwick",67754,69014,71202,72779,75870,78694,42," RI-MA"
"281","Provo-Orem",15408,16183,17273,18010,18967,20711,118," UT"
"282","Pueblo",4213,4384,4467,4491,4686,4824,323," CO"
"283","Punta Gorda",3218,3233,3268,3419,3519,3791,355," FL"
"284","Racine",7086,7103,7560,7445,7655,7820,229," WI"
"285","Raleigh",58652,61046,63471,65522,69277,75756,44," NC"
"286","Rapid City",5329,5604,5830,5880,6225,6412,257," SD"
"287","Reading",15119,15478,15970,16262,16882,17503,132," PA"
"288","Redding",5109,5251,5263,5350,5628,5933,272," CA"
"289","Reno",18854,19108,19199,19512,20823,22043,110," NV"
"290","Richmond",62654,63505,65773,67661,69609,74109,45," VA"
"291","Riverside-San Bernardino-Ontario",114960,119415,121742,126011,132331,140637,23," CA"
"292","Roanoke",13105,13136,13395,13658,14004,14474,156," VA"
"293","Rochester",9771,9768,10080,10395,10782,11214,182," MN"
"294","Rochester",49331,49547,51091,53005,53246,55382,54," NY"
"295","Rockford",12574,13201,14120,14055,14431,14939,152," IL"
"296","Rocky Mount",6325,6142,6085,6025,6012,6461,255," NC"
"297","Rome",3224,3207,3287,3366,3485,3645,358," GA"
"298","Sacramento--Roseville--Arden-Arcade",96015,99338,104878,108360,112238,118822,33," CA"
"299","Saginaw",6969,7139,7152,7334,7471,7605,231," MI"
"300","St. Cloud",7676,7906,8139,8473,8981,9399,205," MN"
"301","St. George",3519,3713,3903,4164,4400,4658,327," UT"
"302","St. Joseph",4817,4918,5305,5570,5600,5716,283," MO-KS"
"303","St. Louis",133888,136646,141365,144901,149927,155077,21," MO-IL"
"304","Salem",12611,12453,12591,12878,13482,14069,160," OR"
"305","Salinas",18721,18891,19754,20666,21360,21980,111," CA"
"306","Salisbury",13721,13507,13546,14401,15203,16077,144," MD-DE"
"307","Salt Lake City",63831,67215,69662,72596,75331,78950,41," UT"
"308","San Angelo",3915,4192,4399,4773,5048,4876,318," TX"
"309","San Antonio-New Braunfels",81722,87182,92866,97837,104014,108879,35," TX"
"310","San Diego-Carlsbad",175903,183149,192533,202227,210387,220573,16," CA"
"311","San Francisco-Oakland-Hayward",333830,345058,372610,384375,408067,431704,7," CA"
"312","San Jose-Sunnyvale-Santa Clara",163836,176173,185048,195906,213014,235222,15," CA"
"313","San Luis Obispo-Paso Robles-Arroyo Grande",11191,11581,12035,12597,13123,13705,164," CA"
"314","Santa Cruz-Watsonville",9619,9869,10079,10782,11284,11908,179," CA"
"315","Santa Fe",6940,6885,6776,7068,7123,7417,236," NM"
"316","Santa Maria-Santa Barbara",20589,21791,22712,23208,23986,25018,98," CA"
"317","Santa Rosa",20296,21269,21667,22529,23833,26052,92," CA"
"318","Savannah",13445,13742,14333,14930,15809,17030,137," GA"
"319","Scranton--Wilkes-Barre--Hazleton",20330,20652,20970,21754,22478,23194,106," PA"
"320","Seattle-Tacoma-Bellevue",248203,257062,271982,281977,298084,313654,12," WA"
"321","Sebastian-Vero Beach",4078,4067,4249,4256,4558,4873,319," FL"
"322","Sebring",1883,1897,1952,1922,1890,1961,382," FL"
"323","Sheboygan",5398,5606,5817,6007,6396,6588,251," WI"
"324","Sherman-Denison",3409,3532,3627,3854,3834,3950,345," TX"
"325","Shreveport-Bossier City",22131,23532,23115,22030,22308,21190,116," LA"
"326","Sierra Vista-Douglas",4180,4233,4065,3916,3836,3847,350," AZ"
"327","Sioux City",7718,7860,7935,8721,8856,9224,212," IA-NE-SD"
"328","Sioux Falls",14493,15891,16985,17460,17917,18727,127," SD"
"329","South Bend-Mishawaka",12421,13043,13003,12910,13464,13966,161," IN-MI"
"330","Spartanburg",11410,11997,12263,12785,13525,14176,159," SC"
"331","Spokane-Spokane Valley",19656,20132,20784,21333,22092,23006,107," WA"
"332","Springfield",8972,9233,9280,9403,9642,9940,198," IL"
"333","Springfield",22483,22956,23776,24057,24671,25337,97," MA"
"334","Springfield",15599,15827,16248,16819,17519,18404,130," MO"
"335","Springfield",3548,3766,3945,4049,4182,4211,337," OH"
"336","State College",6646,6852,7063,7358,7836,8160,220," PA"
"337","Staunton-Waynesboro",4475,4467,4562,4756,4938,4950,314," VA"
"338","Stockton-Lodi",20291,20965,22054,22511,23328,24606,102," CA"
"339","Sumter",3007,3132,3460,3496,3588,3640,360," SC"
"340","Syracuse",28953,28992,30125,30468,31037,31728,80," NY"
"341","Tallahassee",13574,13427,13459,13748,14244,14747,154," FL"
"342","Tampa-St. Petersburg-Clearwater",110187,111462,116956,121553,127326,133838,26," FL"
"343","Terre Haute",6308,6389,6386,6574,6649,6687,248," IN"
"344","Texarkana",4911,4972,5051,4875,5042,5181,299," TX-AR"
"345","The Villages",1776,1874,1875,2089,2185,2313,379," FL"
"346","Toledo",27158,29458,30071,30605,33653,34019,78," OH"
"347","Topeka",9092,9434,9632,9727,9924,9806,200," KS"
"348","Trenton",25853,26251,28026,29043,29654,30815,82," NJ"
"349","Tucson",33110,33271,34385,34898,36184,36193,75," AZ"
"350","Tulsa",46343,51010,53543,55088,57776,54604,55," OK"
"351","Tuscaloosa",9518,10134,10049,10567,10736,11008,184," AL"
"352","Tyler",9206,9929,10335,10869,11400,10557,193," TX"
"353","Urban Honolulu",52214,53662,55340,56624,58284,61072,51," HI"
"354","Utica-Rome",9932,9974,10315,10497,10551,10770,191," NY"
"355","Valdosta",4360,4332,4390,4587,4729,4850,320," GA"
"356","Vallejo-Fairfield",15088,15039,16582,18058,18773,19646,121," CA"
"357","Victoria",4112,4458,5002,5342,5639,5218,297," TX"
"358","Vineland-Bridgeton",5263,5229,5393,5392,5614,5735,281," NJ"
"359","Virginia Beach-Norfolk-Newport News",82685,84274,86787,88510,89871,95680,39," VA-NC"
"360","Visalia-Porterville",11613,12755,12613,13933,15104,15829,146," CA"
"361","Waco",9095,9131,9675,10050,10499,11007,185," TX"
"362","Walla Walla",2429,2472,2502,2514,2549,2608,377," WA"
"363","Warner Robins",6367,6532,6622,6607,6711,6865,244," GA"
"364","Washington-Arlington-Alexandria",432364,445207,454109,460375,474375,491042,5," DC-VA-MD-WV"
"365","Waterloo-Cedar Falls",7747,7767,9287,8870,9269,9283,209," IA"
"366","Watertown-Fort Drum",6255,6555,6512,6463,6415,6436,256," NY"
"367","Wausau",5804,6036,6563,6789,7288,7653,230," WI"
"368","Weirton-Steubenville",3526,3533,3763,3769,3866,3959,344," WV-OH"
"369","Wenatchee",3685,3796,3945,4044,4223,4405,336," WA"
"370","Wheeling",5840,6038,6243,6811,7244,7223,239," WV-OH"
"371","Wichita",28193,30043,31084,29111,31063,31473,81," KS"
"372","Wichita Falls",5857,6417,6666,6763,6984,6305,261," TX"
"373","Williamsport",3925,4327,4532,4675,4950,4938,315," PA"
"374","Wilmington",11001,11552,11493,12306,13021,13607,166," NC"
"375","Winchester",5125,5260,5494,5657,5872,5911,273," VA-WV"
"376","Winston-Salem",25331,25658,25656,25789,27357,28599,89," NC"
"377","Worcester",34216,35022,35714,36876,37896,39257,67," MA-CT"
"378","Yakima",7700,8055,8417,8424,8807,9023,214," WA"
"379","York-Hanover",16164,16150,16048,16467,16746,17150,135," PA"
"380","Youngstown-Warren-Boardman",17293,18981,20398,20187,20897,21417,113," OH-PA"
"381","Yuba City",4757,4957,4986,5376,5488,5765,280," CA"
"382","Yuma",5394,5638,5350,5729,5583,5665,286," AZ"
